year,NAME,vacancy_rate
2017,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",5.7
2017,"Phoenix-Mesa-Scottsdale, AZ Metro Area",5.8
2017,"Pine Bluff, AR Metro Area",8
2017,"Pittsburgh, PA Metro Area",6.6
2017,"Pittsfield, MA Metro Area",5.8
2017,"Pocatello, ID Metro Area",7.2
2017,"Ponce, PR Metro Area",6.4
2017,"Portland-South Portland, ME Metro Area",7.4
2017,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",3.3
2017,"Port St. Lucie, FL Metro Area",12.5
2017,"Prescott, AZ Metro Area",2.5
2017,"Providence-Warwick, RI-MA Metro Area",4.9
2017,"Provo-Orem, UT Metro Area",5.5
2017,"Pueblo, CO Metro Area",2.4
2017,"Punta Gorda, FL Metro Area",12.4
2017,"Racine, WI Metro Area",3.9
2017,"Raleigh, NC Metro Area",5
2017,"Rapid City, SD Metro Area",4.8
2017,"Reading, PA Metro Area",7.2
2017,"Redding, CA Metro Area",3.8
2017,"Reno, NV Metro Area",4.6
2017,"Richmond, VA Metro Area",5.5
2017,"Riverside-San Bernardino-Ontario, CA Metro Area",3.7
2017,"Roanoke, VA Metro Area",8.9
2017,"Rochester, MN Metro Area",5.4
2017,"Rochester, NY Metro Area",5.5
2017,"Rockford, IL Metro Area",5.7
2017,"Rocky Mount, NC Metro Area",5.9
2017,"Rome, GA Metro Area",6.7
2017,"Sacramento--Roseville--Arden-Arcade, CA Metro Area",2.9
2017,"Saginaw, MI Metro Area",4.6
2017,"St. Cloud, MN Metro Area",0.9
2017,"St. George, UT Metro Area",2.2
2017,"St. Joseph, MO-KS Metro Area",11
2017,"St. Louis, MO-IL Metro Area",6.4
2017,"Salem, OR Metro Area",7.3
2017,"Salinas, CA Metro Area",6.2
2017,"Salisbury, MD-DE Metro Area",7.3
2017,"Salt Lake City, UT Metro Area",5
2017,"San Angelo, TX Metro Area",10.7
2017,"San Antonio-New Braunfels, TX Metro Area",8.9
2017,"San Diego-Carlsbad, CA Metro Area",3.5
2017,"San Francisco-Oakland-Hayward, CA Metro Area",3.2
2017,"San Germán, PR Metro Area",5.7
2017,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",5.1
