ori,agency_name,state_name,data_year,offense,Population,cleared,actual,crime_rate
KY0340200,Lexington,Kentucky,2021,violent-crime,323780,371,978,302.05695225152886
KY0340200,Lexington,Kentucky,2022,violent-crime,323780,381,868,268.0832664154673
LA0170200,Baton Rouge,Louisiana,2018,violent-crime,221599,640,2067,932.7659420845762
LA0170200,Baton Rouge,Louisiana,2019,violent-crime,221599,555,2066,932.314676510273
LA0170200,Baton Rouge,Louisiana,2020,violent-crime,221599,552,2087,941.7912535706388
LA0170200,Baton Rouge,Louisiana,2021,violent-crime,221599,490,2763,1246.846781799557
LA0170200,Baton Rouge,Louisiana,2022,violent-crime,221599,462,2260,1019.8601979250809
ME0010200,Lewiston,Maine,2018,violent-crime,35944,49,84,233.6968617849989
ME0010200,Lewiston,Maine,2019,violent-crime,35944,46,111,308.81371021589143
ME0010200,Lewiston,Maine,2020,violent-crime,35944,71,97,269.8642332517249
ME0010200,Lewiston,Maine,2021,violent-crime,35944,73,97,269.8642332517249
ME0010200,Lewiston,Maine,2022,violent-crime,35944,46,101,280.9926552414868
MA0146000,Worcester,Massachusetts,2018,violent-crime,185877,617,1278,687.5514453106086
MA0146000,Worcester,Massachusetts,2019,violent-crime,185877,567,1169,628.9105160939761
MA0146000,Worcester,Massachusetts,2020,violent-crime,185877,516,1171,629.986496446575
MA0146000,Worcester,Massachusetts,2021,violent-crime,185877,506,1204,647.7401722644545
MA0146000,Worcester,Massachusetts,2022,violent-crime,185877,443,1245,669.7977694927291
MI4143600,Grand Rapids,Michigan,2018,violent-crime,200217,377,1320,659.2846761264028
MI4143600,Grand Rapids,Michigan,2019,violent-crime,200217,390,1299,648.7960562789374
MI4143600,Grand Rapids,Michigan,2020,violent-crime,200217,494,1951,974.4427296383425
MI4143600,Grand Rapids,Michigan,2021,violent-crime,200217,237,1974,985.930265661757
MI4143600,Grand Rapids,Michigan,2022,violent-crime,200217,167,1926,961.9562774389786
